,book_id,title,num_of_pages,Language,Authors,Publisher,CountsOfReview,Rating,image_url,Publish Date
623,27523,Left Behind (Left Behind #1),342,eng,Tim LaHaye,Tyndale House Publishers,3315,3.83,https://images.gr-assets.com/books/1406505054m/27523.jpg,2000-09-01
365,12609,The Spirit Catches You and You Fall Down: A Hmong Child Her American Doctors and the Collision of Two Cultures,341,eng,Anne Fadiman,Noonday Press,4244,4.17,https://images.gr-assets.com/books/1432610033m/12609.jpg,1998-09-30
827,43035,White Fang,252,eng,Jack London,Scholastic Paperbacks,3187,3.98,https://images.gr-assets.com/books/1475878443m/43035.jpg,2001-01-01
198,6295,Howl and Other Poems,56,eng,Allen Ginsberg,City Lights,1305,4.13,https://images.gr-assets.com/books/1327870926m/6295.jpg,2001-01-01
456,16431,Sole Survivor,403,eng,Dean Koontz,Bantam Books,549,3.79,https://images.gr-assets.com/books/1308459581m/16431.jpg,2006-07-25
465,17020,13 Little Blue Envelopes (Little Blue Envelope #1),322,eng,Maureen Johnson,HarperCollins Publishers,4088,3.64,https://images.gr-assets.com/books/1375030179m/17020.jpg,2010-12-21
311,10890,Traveling Mercies: Some Thoughts on Faith,275,eng,Anne Lamott,Anchor,2309,4.16,https://images.gr-assets.com/books/1403182174m/10890.jpg,2000-02-15
331,11313,Silver on the Tree (The Dark is Rising #5),274,eng,Susan Cooper,Margaret K. McElderry Books,519,4.15,https://images.gr-assets.com/books/1364805592m/11313.jpg,2000-12-01
393,13659,Tales from Earthsea (Earthsea Cycle #5),280,eng,Ursula K. Le Guin,Ace,484,4.05,https://images.gr-assets.com/books/1309202073m/13659.jpg,2003-10-28
634,28483,The Seventh Gate (The Death Gate Cycle #7),317,eng,Margaret Weis,Spectra,151,4.11,https://images.gr-assets.com/books/1327837380m/28483.jpg,1995-12-01
788,40189,A Year in Provence,207,eng,Peter Mayle,Vintage,2583,3.96,https://images.gr-assets.com/books/1494896848m/40189.jpg,1991-06-04
743,34532,Hogfather (Discworld #20; Death #4),432,eng,Terry Pratchett,Corgi,1384,4.23,https://images.gr-assets.com/books/1416342611m/34532.jpg,2006-10-02
851,45106,Forest Mage (Soldier Son #2),718,eng,Robin Hobb,Harper Voyager,397,3.39,https://images.gr-assets.com/books/1446012746m/45106.jpg,2006-08-29
137,4953,A Heartbreaking Work of Staggering Genius,485,eng,Dave Eggers,Vintage,8496,3.69,https://images.gr-assets.com/books/1327714834m/4953.jpg,2001-02-13
809,41899,Fantastic Beasts and Where to Find Them (Hogwarts Library),128,eng,Newt Scamander,Arthur A. Levine Books,5595,3.99,https://images.gr-assets.com/books/1303738520m/41899.jpg,2001-06-01
440,15997,Paradise Lost,453,eng,John Milton,Penguin Classics,2649,3.82,https://images.gr-assets.com/books/1455618673m/15997.jpg,2003-02-27
859,45432,The Supernaturalist,267,en-US,Eoin Colfer,Disney-Hyperion,1010,3.86,https://images.gr-assets.com/books/1233460677m/45432.jpg,2005-04-20
432,15654,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,548,eng,Ann Rule,Signet,2846,4.14,https://images.gr-assets.com/books/1330072383m/15654.jpg,2001-06-01
296,10507,Baudolino,527,eng,Umberto Eco,"Harcourt, Inc.",709,3.75,https://images.gr-assets.com/books/1479698120m/10507.jpg,2003-10-06
521,21324,Fables Vol. 8: Wolves,160,eng,Bill Willingham,Vertigo,572,4.27,https://images.gr-assets.com/books/1375393296m/21324.jpg,2006-12-20
675,30292,Five Dialogues: Euthyphro Apology Crito Meno Phaedo,156,eng,Plato,"Hackett Publishing Company, Inc.",234,4.13,https://images.gr-assets.com/books/1399079227m/30292.jpg,2002-10-01
292,10084,River of Blue Fire (Otherland #2),675,eng,Tad Williams,Daw Books,236,4.02,https://images.gr-assets.com/books/1309992269m/10084.jpg,1999-09-01
136,4952,What Is the What,475,eng,Dave Eggers,McSweeney's,6215,4.16,https://images.gr-assets.com/books/1328837457m/4952.jpg,2006-10-18
528,21343,The Five Dysfunctions of a Team: A Leadership Fable,227,eng,Patrick Lencioni,Jossey-Bass,2944,4.05,https://images.gr-assets.com/books/1400841022m/21343.jpg,2002-04-11
658,29579,Foundation (Foundation #1),244,eng,Isaac Asimov,Bantam,6692,4.17,https://images.gr-assets.com/books/1417900846m/29579.jpg,2004-06-01
96,3473,A Walk to Remember,240,eng,Nicholas Sparks,Grand Central Publishing,10189,4.17,https://images.gr-assets.com/books/1385738968m/3473.jpg,2004-09-01
290,10033,Being and Nothingness,688,eng,Jean-Paul Sartre,Routledge,270,3.96,https://images.gr-assets.com/books/1329978583m/10033.jpg,2003-08-28
693,31862,Discourse on Method and Meditations on First Philosophy,103,eng,René Descartes,"Hackett Publishing Company, Inc.",330,3.72,https://images.gr-assets.com/books/1405624402m/31862.jpg,1999-06-15
39,968,The Da Vinci Code (Robert Langdon #2),489,eng,Dan Brown,Anchor,36086,3.84,https://images.gr-assets.com/books/1303252999m/968.jpg,2006-03-28
67,2152,The Jane Austen Book Club,288,eng,Karen Joy Fowler,G.P. Putnam's Sons,3561,3.08,https://images.gr-assets.com/books/1309282966m/2152.jpg,2005-04-26
837,43814,The Vampire Lestat (The Vampire Chronicles #2),481,eng,Anne Rice,Ballantine Books,2743,4.07,https://images.gr-assets.com/books/1347515742m/43814.jpg,2004-08-31
328,11229,The Sea The Sea,528,eng,Iris Murdoch,Penguin Books Ltd,787,3.92,https://images.gr-assets.com/books/1302898449m/11229.jpg,2001-03-01
265,9301,Rachel's Holiday (Walsh Family #2),578,eng,Marian Keyes,William Morrow Paperbacks,1254,3.96,https://images.gr-assets.com/books/1407709261m/9301.jpg,2007-01-23
30,703,The Plot Against America,391,eng,Philip Roth,Vintage International,3049,3.77,https://images.gr-assets.com/books/1327711853m/703.jpg,2005-09-27
360,12358,The Partly Cloudy Patriot,197,eng,Sarah Vowell,Simon  Schuster,1324,3.88,https://images.gr-assets.com/books/1430720573m/12358.jpg,2003-10-01
847,44559,Life is Elsewhere,432,eng,Milan Kundera,Harper Perennial,313,3.95,https://images.gr-assets.com/books/1327945876m/44559.jpg,2000-07-25
665,30065,The Walking Dead Vol. 5: The Best Defense,136,eng,Robert Kirkman,Image Comics,848,4.29,https://images.gr-assets.com/books/1345769360m/30065.jpg,2009-04-21
760,37297,Eyes of Prey (Lucas Davenport #3),358,eng,John Sandford,G.P. Putnam's Sons,525,4.18,https://images.gr-assets.com/books/1400408527m/37297.jpg,2007-03-06
640,28568,The Vanished Man (Lincoln Rhyme #5),560,en-US,Jeffery Deaver,Pocket Books,591,4.1,https://images.gr-assets.com/books/1257881028m/28568.jpg,2004-07-01
306,10617,The Bachman Books,704,eng,Richard Bachman,Plume,495,4.11,https://images.gr-assets.com/books/1374049003m/10617.jpg,1996-10-01
350,11768,The Hotel New Hampshire,520,eng,John Irving,Black Swan,1212,3.91,https://images.gr-assets.com/books/1318013543m/11768.jpg,1982-10-22
499,18884,Polgara the Sorceress,754,eng,David Eddings,Del Rey Books,295,4.09,https://images.gr-assets.com/books/1403179783m/18884.jpg,1998-12-26
601,25104,The Wake (The Sandman #10),191,eng,Neil Gaiman,Vertigo,784,4.52,https://images.gr-assets.com/books/1339922545m/25104.jpg,1999-09-03
442,16181,The Constant Princess (The Plantagenet and Tudor Novels #6),390,eng,Philippa Gregory,Washington Square Press,3934,3.9,https://images.gr-assets.com/books/1355932704m/16181.jpg,2006-09-06
569,23884,The General in His Labyrinth,248,eng,Gabriel García Márquez,Everyman's Library,393,3.69,https://images.gr-assets.com/books/1361537151m/23884.jpg,2004-10-26
174,5472,Animal Farm / 1984,400,eng,George Orwell,Houghton Mifflin Harcourt,1652,4.29,https://images.gr-assets.com/books/1327959366m/5472.jpg,2003-06-01
244,7967,Speaker for the Dead (Ender's Saga #2),382,eng,Orson Scott Card,Tor Books,6673,4.07,https://images.gr-assets.com/books/1295660894m/7967.jpg,1994-08-15
23,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus #1),540,eng,Robert M. Pirsig,HarperTorch,6515,3.77,https://images.gr-assets.com/books/1410136019m/629.jpg,2006-04-25
260,9013,The Long Walk: The True Story of a Trek to Freedom,256,eng,Sławomir Rawicz,Lyons Press,1772,4.21,https://images.gr-assets.com/books/1417980460m/9013.jpg,2006-04-01
643,28698,To Green Angel Tower Part 2 (Memory Sorrow and Thorn #3; Part 2),815,eng,Tad Williams,DAW Fantasy,222,4.21,https://images.gr-assets.com/books/1309992900m/28698.jpg,1994-07-01
